材料,酶活,底物,pH,温度(℃),指标,等级,tier,文献数,倍数,疑因标签,逐条取值(DOI=值),人工复核结论,复核备注
fe3o4,peroxidase,H2O2,4.0,25.0,vmax_um_s,严重,3,5,376744.19,跨文献,10.1039/c7ay00750g=0.0911 | 10.1039/c7ay00750g=0.0911 | 10.1039/c7ay00750g=0.0911 | 10.1088/1361-6528/ab2026=0.0085 | 10.1088/1361-6528/ab2026=0.0085 | 10.1002/chem.201101191=486.0 | 10.1021/acs.analchem.9b04116=0.00129 | 10.1021/acs.analchem.9b04116=0.00342 | 10.1039/c8nj01190g=0.05139,,
fe3o4,peroxidase,TMB,3.6,37.0,vmax_um_s,严重,3,3,25471.7,跨文献,10.1038/s41596-018-0001-1=0.655 | 10.1038/s41596-018-0001-1=0.65 | 10.1038/s41596-018-0001-1=0.655 | 10.1002/smll.202105673=0.106 | 10.1016/j.apsusc.2023.157185=2700.0,,
pt,peroxidase,TMB,4.0,37.0,vmax_um_s,严重,3,3,16000.0,跨文献,10.1016/j.snb.2017.07.108=0.02 | 10.1016/j.biomaterials.2010.11.004=0.558 | 10.1016/j.biomaterials.2010.11.004=320.0 | 10.1039/c6an02722a=0.152 | 10.1039/c6an02722a=0.0563,,
pt,peroxidase,TMB,4.0,37.0,km_mm,严重,3,2,1474.41,跨文献,10.1016/j.snb.2017.07.108=0.127 | 10.1016/j.biomaterials.2010.11.004=0.22 | 10.1016/j.biomaterials.2010.11.004=187.25,,
co3o4,peroxidase,H2O2,4.0,40.0,km_mm,严重,3,2,782.14,跨文献,10.1016/j.apsusc.2016.12.067=0.0262 | 10.1016/j.apsusc.2016.12.067=0.079 | 10.1016/j.apsusc.2016.12.067=0.091 | 10.1039/c7nj03880a=20.492,,
pd,peroxidase,H2O2,4.0,25.0,km_mm,严重,3,3,330.0,跨文献,10.1002/adfm.201801484=1.0 | 10.1007/s10853-020-05589-0=330.0 | 10.1021/acsanm.8b00578=1.52,,
pt,peroxidase,TMB,4.0,25.0,km_mm,严重,3,4,563.87,跨文献,10.1002/adfm.201801484=0.81 | 10.1016/j.aca.2013.03.034=0.12 | 10.1016/j.bios.2014.11.032=0.119 | 10.1016/j.cej.2023.142494=67.1,,
ceo2,peroxidase,H2O2,3.8,40.0,km_mm,严重,3,2,144.09,跨文献,10.1016/j.msec.2015.10.046=0.958 | 10.1016/j.msec.2015.10.046=36.6 | 10.1016/j.snb.2016.09.049=0.254 | 10.1016/j.snb.2016.09.049=0.278,,
fe4fecn63,peroxidase,H2O2,3.6,25.0,km_mm,严重,3,2,57.14,跨文献,10.1007/s00604-015-1697-z=840.0 | 10.1021/jacs.5b12070=14.7 | 10.1021/jacs.5b12070=17.1,,
mno2,oxidase,TMB,4.0,25.0,km_mm,严重,3,2,950.0,单位量级错配?/跨文献,10.1007/s12274-020-2680-5=0.0001 | 10.1007/s12274-020-2680-5=0.0009 | 10.1007/s12274-020-2680-5=0.0035 | 10.1016/j.bios.2018.08.004=0.095,,
mnco2o4,oxidase,TMB,4.0,25.0,km_mm,严重,3,2,36.71,跨文献,10.1016/j.snb.2018.04.150=0.00899 | 10.1016/j.snb.2018.04.150=0.00899 | 10.1016/j.snb.2018.04.150=0.009 | 10.1021/acs.analchem.0c01886=0.33 | 10.1021/acs.analchem.0c01886=0.33,,
fe3o4,peroxidase,TMB,3.5,40.0,km_mm,严重,3,2,33.98,跨文献,10.1038/nnano.2007.260=0.098 | 10.1038/nnano.2007.260=0.098 | 10.1038/nnano.2007.260=0.098 | 10.1038/nnano.2007.260=0.098 | 10.1016/j.jtice.2017.12.011=3.33,,
ceo2,peroxidase,TMB,3.8,40.0,vmax_um_s,严重,3,2,10847.88,跨文献,10.1016/j.msec.2015.10.046=0.000401 | 10.1016/j.msec.2015.10.046=0.26899999999999996 | 10.1016/j.snb.2016.09.049=4.35 | 10.1016/j.snb.2016.09.049=0.0159,,
fe3o4,peroxidase,TMB,3.6,25.0,km_mm,严重,3,2,26.7,跨文献,10.1016/j.bios.2018.11.043=6.22 | 10.1021/am405009f=0.233 | 10.1021/am405009f=0.233 | 10.1021/am405009f=0.233,,
co3o4,peroxidase,H2O2,5.0,25.0,km_mm,严重,3,4,189.28,跨文献,10.1021/am406033q=1.9 | 10.1021/am406033q=1.9 | 10.1039/c2cc17013b=140.07 | 10.1039/c2cc17013b=140.07 | 10.1039/c2cc17013b=140.07 | 10.1021/acs.inorgchem.9b03512=0.74 | 10.1021/acs.inorgchem.9b03512=3.43 | na-1589=8.15,,
pt,oxidase,TMB,4.0,25.0,vmax_um_s,严重,3,3,636.36,跨文献,10.1038/srep40103=0.32699999999999996 | 10.1016/j.bios.2018.08.004=0.011 | 10.1016/j.bios.2016.10.082=7.0,,
pt,peroxidase,H2O2,4.0,25.0,km_mm,严重,3,3,111.45,跨文献,10.1002/adfm.201801484=6.9 | 10.1016/j.aca.2013.03.034=769.0 | 10.1016/j.bios.2014.11.032=41.8,,
