doi,material,substrate,sources,min_km,max_km,fold,n_sources,unit_uncertain
10.1038/s41467-018-03903-8,N-PCNSs-5,H2O2,"['db:ai-zymes', 'db:nanozymedb', 'human']",0.000154,161.0,1045454.5455,3,False
10.1038/s41467-018-03903-8,PCNSs,H2O2,"['db:ai-zymes', 'db:nanozymedb', 'human']",0.0006789,678.9,1000000.0,3,False
10.1038/s41467-018-03903-8,N-PCNSs-3,H2O2,"['db:ai-zymes', 'db:nanozymedb', 'human']",0.0006625,130.0,196226.4151,3,False
10.1016/j.bios.2014.08.062,NiO,H2O2,"['db:ai-zymes', 'db:dizyme', 'human']",0.00666,208.0,31231.2312,3,False
10.1016/j.bios.2014.08.062,NiO,TMB,"['db:ai-zymes', 'db:dizyme', 'human']",0.0067,208.0,31044.7761,3,False
10.1021/acsami.6b05354,CuO,H2O2,"['db:ai-zymes', 'db:dizyme', 'db:nanozymedb', 'human']",0.4,400.0,1000.0,4,False
10.1021/acsami.6b05354,CuO,TMB,"['db:ai-zymes', 'db:dizyme', 'db:nanozymedb', 'human']",0.025,25.0,1000.0,4,False
10.1021/acsami.6b05354,Zn-CuO,H2O2,"['db:ai-zymes', 'db:nanozymedb', 'human']",0.071,71.0,1000.0,3,False
10.1021/acsami.6b05354,Zn-CuO,TMB,"['db:ai-zymes', 'db:nanozymedb', 'human']",0.01,10.0,1000.0,3,False
10.1021/acsami.8b20942,HccFn(Co3O4),TMB,"['db:ai-zymes', 'db:nanozymedb', 'human']",0.84,840.0,1000.0,3,False
10.1021/acsami.8b20942,HccFn(Fe3O4),TMB,"['db:ai-zymes', 'db:nanozymedb', 'human']",1.12,1120.0,1000.0,3,False
10.1039/c7ra10370k,Ru NPs,TMB,"['db:ai-zymes', 'db:nanozymedb', 'human']",0.234,54.92,234.7009,3,False
10.1016/j.bios.2020.112342,Co3O4,H2O2,"['db:ai-zymes', 'db:dizyme', 'human']",5.9322,839.85,141.5748,3,False
10.1016/j.bios.2014.08.062,H2TCPP-NiO,TMB,"['db:ai-zymes', 'db:nanozymedb', 'human']",0.391,39.1,100.0,3,False
10.1021/acsami.0c08778,CeO2@PAA2K,H2O2,"['db:ai-zymes', 'human']",0.6,58.0,96.6667,2,False
10.1016/j.apcatb.2020.118725,Cit-IrNPs,H2O2,"['db:ai-zymes', 'human']",0.27,21.09,78.1111,2,False
10.1016/j.jallcom.2016.04.269,Fe3O4@Cu@Cu2O,H2O2,"['db:ai-zymes', 'db:nanozymedb', 'human']",2.3,116.3,50.5652,3,False
10.1021/am406033q,Co3O4,H2O2,"['db:ai-zymes', 'db:dizyme', 'human']",1.9,63.9,33.6316,3,False
10.1039/c9cc00199a,Fe SAEs,TMB,"['db:ai-zymes', 'human']",0.13,3.92,30.1538,2,False
10.1016/j.colsurfa.2016.07.037,Fe2O3,H2O2,"['db:ai-zymes', 'human']",11.3,305.0,26.9912,2,False
10.1016/j.snb.2023.134429,rGO@PDA@CeO2,H2O2,"['db:ai-zymes', 'human']",0.26,6.39,24.5769,2,False
10.1039/c0cc04850j,K5PV2Mo10O40,TMB,"['db:ai-zymes', 'human']",0.00041,0.0086,20.9756,2,False
10.1016/j.snb.2023.134429,rGO@PDA@CeO2,TMB,"['db:ai-zymes', 'human']",0.41,6.81,16.6098,2,False
10.1039/c6cc08542c,Fe3O4,H2O2,"['db:dizyme', 'db:nanozymedb']",37.99,571.6,15.0461,2,False
